Fecha,Cod_Provincia,Provincia,TOTAL_CAMAS,OCUPADAS_COVID19,OCUPADAS_NO_COVID19,% Pacientes COVID-19,% Pacientes no COVID-19,media_7d_ocupadas_covid,POR_OCUPADAS_TOTAL,media_7d_ocupadas_total
2020-08-05,22,Huesca,25,5,6,20.0,24.0,24.0,176.0,182.0
2020-08-05,23,Jaén,131,1,30,0.76,22.9,1.0,18.06,17.0
2020-08-05,24,León,65,1,30,1.54,46.15,1.0,73.37,73.0
2020-08-05,25,Lleida,53,14,20,26.42,37.74,32.0,121.06,129.0
"2020-08-05,26,""Rioja, La"",43,0,16,0.0,37.21,0.0,86.53,83.0"
2020-08-05,27,Lugo,94,0,25,0.0,26.6,0.0,28.3,27.0
2020-08-05,28,Madrid,1021,44,442,4.31,43.29,4.0,4.66,4.0
2020-08-05,29,Málaga,330,1,98,0.3,29.7,0.0,9.09,8.0
2020-08-05,3,Alicante/Alacant,353,10,129,2.83,36.54,3.0,11.15,11.0
2020-08-05,30,Murcia,431,15,111,3.48,25.75,3.0,6.78,6.0
2020-08-05,31,Navarra,110,3,39,2.73,35.45,2.0,34.71,37.0
2020-08-05,32,Ourense,84,0,20,0.0,23.81,0.0,28.35,24.0
2020-08-05,33,Asturias,254,4,47,1.57,18.5,2.0,7.9,8.0
2020-08-05,34,Palencia,16,0,11,0.0,68.75,0.0,429.69,430.0
"2020-08-05,35,""Palmas, Las"",261,1,116,0.38,44.44,0.0,17.17,16.0"
2020-08-05,36,Pontevedra,226,1,64,0.44,28.32,1.0,12.73,13.0
2020-08-05,37,Salamanca,39,1,16,2.56,41.03,2.0,111.77,120.0
2020-08-05,38,Santa Cruz de Tenerife,195,4,90,2.05,46.15,1.0,24.72,24.0
2020-08-05,39,Cantabria,115,1,37,0.87,32.17,1.0,28.73,33.0
2020-08-05,4,Almería,126,10,23,7.94,18.25,6.0,20.79,21.0
2020-08-05,40,Segovia,22,0,10,0.0,45.45,0.0,206.59,132.0
2020-08-05,41,Sevilla,343,1,136,0.29,39.65,0.0,11.64,12.0
2020-08-05,42,Soria,16,0,5,0.0,31.25,4.0,195.31,156.0
2020-08-05,43,Tarragona,105,8,41,7.62,39.05,8.0,44.45,52.0
2020-08-05,44,Teruel,8,0,4,0.0,50.0,0.0,625.0,406.0
2020-08-05,45,Toledo,86,2,37,2.33,43.02,3.0,52.73,51.0
2020-08-05,46,Valencia/València,565,10,171,1.77,30.27,1.0,5.67,6.0
2020-08-05,47,Valladolid,81,3,37,3.7,45.68,3.0,60.96,65.0
2020-08-05,48,Bizkaia,153,7,83,4.58,54.25,4.0,38.45,32.0
2020-08-05,49,Zamora,17,0,7,0.0,41.18,0.0,242.24,215.0
2020-08-05,5,Ávila,15,0,3,0.0,20.0,0.0,133.33,133.0
2020-08-05,50,Zaragoza,169,37,62,21.89,36.69,20.0,34.66,34.0
2020-08-05,51,Ceuta,17,0,3,0.0,17.65,0.0,103.82,62.0
2020-08-05,52,Melilla,12,0,3,0.0,25.0,0.0,208.33,236.0
2020-08-05,6,Badajoz,141,4,38,2.84,26.95,3.0,21.13,20.0
"2020-08-05,7,""Balears, Illes"",264,9,96,3.41,36.36,3.0,15.06,15.0"
2020-08-05,8,Barcelona,841,82,431,9.75,51.25,9.0,7.25,7.0
2020-08-05,9,Burgos,49,1,19,2.04,38.78,2.0,83.31,77.0
2020-08-06,1,Araba/Álava,58,2,18,3.45,31.03,4.0,59.45,72.0
2020-08-06,10,Cáceres,66,0,19,0.0,28.79,0.0,43.62,50.0
2020-08-06,11,Cádiz,218,2,46,0.92,21.1,1.0,10.1,11.0
2020-08-06,12,Castellón/Castelló,75,0,29,0.0,38.67,0.0,51.56,60.0
2020-08-06,13,Ciudad Real,79,3,25,3.8,31.65,4.0,44.87,50.0
2020-08-06,14,Córdoba,153,2,48,1.31,31.37,2.0,21.36,20.0
"2020-08-06,15,""Coruña, A"",320,1,83,0.31,25.94,0.0,8.2,8.0"
2020-08-06,16,Cuenca,41,0,4,0.0,9.76,0.0,23.8,33.0
2020-08-06,17,Girona,44,11,24,25.0,54.55,23.0,180.8,182.0
2020-08-06,18,Granada,170,1,83,0.59,48.82,1.0,29.06,25.0
2020-08-06,19,Guadalajara,44,0,9,0.0,20.45,2.0,46.48,47.0
2020-08-06,2,Albacete,68,5,40,7.35,58.82,8.0,97.31,94.0
2020-08-06,20,Gipuzkoa,85,0,40,0.0,47.06,1.0,55.36,56.0
2020-08-06,21,Huelva,76,1,20,1.32,26.32,1.0,36.37,35.0
2020-08-06,22,Huesca,25,5,6,20.0,24.0,23.0,176.0,181.0
2020-08-06,23,Jaén,131,1,35,0.76,26.72,1.0,20.98,18.0
2020-08-06,24,León,65,1,34,1.54,52.31,1.0,82.85,75.0
2020-08-06,25,Lleida,53,14,21,26.42,39.62,31.0,124.6,129.0
"2020-08-06,26,""Rioja, La"",43,0,19,0.0,44.19,0.0,102.77,87.0"
2020-08-06,27,Lugo,94,0,23,0.0,24.47,0.0,26.03,27.0
2020-08-06,28,Madrid,1031,55,440,5.33,42.68,4.0,4.66,4.0
2020-08-06,29,Málaga,333,3,94,0.9,28.23,0.0,8.75,8.0
2020-08-06,3,Alicante/Alacant,352,13,129,3.69,36.65,3.0,11.46,11.0
2020-08-06,30,Murcia,431,17,102,3.94,23.67,3.0,6.41,6.0
2020-08-06,31,Navarra,110,6,32,5.45,29.09,3.0,31.4,36.0
2020-08-06,32,Ourense,84,0,22,0.0,26.19,0.0,31.18,25.0
2020-08-06,33,Asturias,254,4,48,1.57,18.9,2.0,8.06,8.0
2020-08-06,34,Palencia,330,0,12,0.0,3.64,0.0,1.1,358.0
"2020-08-06,35,""Palmas, Las"",261,0,120,0.0,45.98,0.0,17.62,16.0"
2020-08-06,36,Pontevedra,226,1,63,0.44,27.88,1.0,12.53,13.0
2020-08-06,37,Salamanca,39,1,17,2.56,43.59,2.0,118.33,119.0
2020-08-06,38,Santa Cruz de Tenerife,198,2,97,1.01,48.99,1.0,25.25,24.0
2020-08-06,39,Cantabria,115,0,39,0.0,33.91,0.0,29.49,32.0
2020-08-06,4,Almería,126,9,21,7.14,16.67,6.0,18.9,20.0
2020-08-06,40,Segovia,22,0,12,0.0,54.55,0.0,247.95,152.0
2020-08-06,41,Sevilla,343,0,139,0.0,40.52,0.0,11.81,12.0
2020-08-06,42,Soria,16,0,2,0.0,12.5,3.0,78.12,143.0
2020-08-06,43,Tarragona,105,9,37,8.57,35.24,8.0,41.72,51.0
2020-08-06,44,Teruel,8,0,4,0.0,50.0,0.0,625.0,443.0
